14 781 406;17.07.2020 8:03:20;9164375204;bidinfo*a1594962188635b1594962191478c1594962191478d1594972992146e1594972997771f1594962198764g1594962198764h1594962197301i1594962197303j1594972999927
14 781 144;17.07.2020 8:00:49;9164375204;bidinfo*a1594962046810b1594962048410c1594962048410d1594972847584e1594972848396f1594962049346g1594962049346h1594962047819i1594962047820j1594972848600
14 781 131;17.07.2020 8:00:37;9164375204;bidlist*a1594962030521b1594962034167c1594962034167d1594972834850e1594972836084f1594962037037g1594962037037h1594962035534i1594962035576j1594972837053
14 781 224;17.07.2020 8:01:54;9164375204;bidlist*a1594962109037b1594962110639c1594962110639d1594972910709e1594972913552f1594962114555g1594962114555h1594962113115i1594962113156j1594972914037
14 781 255;17.07.2020 8:02:11;9164375204;bidinfo*a1594962128105b1594962129718c1594962129718d1594972928927e1594972930708f1594962131699g1594962131699h1594962130182i1594962130183j1594972930990
14 781 684;17.07.2020 8:04:59;9164375204;bidinfo*a1594962296557b1594962298146c1594962298146d1594973097370e1594973098980f1594962299940g1594962299940h1594962298453i1594962298455j1594973099277
14 782 145;17.07.2020 8:09:57;9164375204;bidlist*a1594962594176b1594962596215c1594962596215d1594973395384e1594973396478f1594962597448g1594962597448h1594962595948i1594962595980j1594973396759
14 782 149;17.07.2020 8:10:04;9164375204;bidlist*a1594962599221b1594962600833c1594962600833d1594973400025e1594973403650f1594962604593g1594962604593h1594962603133i1594962603185j1594973403993
14 783 173;17.07.2020 8:53:40;9164375204;bidlist*a1594965201729b1594965203487c1594965203487d1594976003185e1594976019107f1594965220064g1594965220064h1594965218558i1594965218609j1594976019451
14 783 177;17.07.2020 8:53:51;9164375204;bidinfo*a1594965224782b1594965226550c1594965226550d1594976025779e1594976030388f1594965231368g1594965231368h1594965229880i1594965229882j1594976030810
14 783 175;17.07.2020 8:53:43;9164375204;bidlist*a1594965204924b1594965206545c1594965206545d1594976005732e1594976021998f1594965222948g1594965222948h1594965221483i1594965221529j1594976022435
14 783 179;17.07.2020 8:53:52;9164375204;bidlist*a1594965220971b1594965222605c1594965222605d1594976021951e1594976031263f1594965232319g1594965232319h1594965230946i1594965231009j1594976031966
14 783 176;17.07.2020 8:53:46;9164375204;bidlist*a1594965218851b1594965220469c1594965220469d1594976019685e1594976024826f1594965225880g1594965225880h1594965224590i1594965224641j1594976025623
14 783 302;17.07.2020 8:57:28;9164375204;bidinfo*a1594965444788b1594965446564c1594965446564d1594976245729e1594976247260f1594965448202g1594965448202h1594965446684i1594965446686j1594976247650
14 783 489;17.07.2020 9:02:16;9164375204;bidlist*a1594965733467b1594965735051c1594965735051d1594976534242e1594976535727f1594965736658g1594965736658h1594965735148i1594965735174j1594976535977
